  x (normalized)   y (normalized)    bulk (um)      x-grad (um)     y-grad (um)     z-grad (um)    r-grad (um)
  -8.9812644e-01  -4.3973488e-01   2.4700000e+00  -1.1000000e+00  -5.3900000e-01  -1.4900000e+01   3.5300000e-01
   8.9812644e-01  -4.3973488e-01   2.4700000e+00   1.1000000e+00  -5.3900000e-01  -1.4900000e+01   3.5200000e-01
  -9.0790737e-01  -4.1917670e-01   2.4700000e+00  -1.1100000e+00  -5.1400000e-01  -1.4900000e+01   3.5100000e-01
   9.0790737e-01  -4.1917670e-01   2.4700000e+00   1.1100000e+00  -5.1400000e-01  -1.4900000e+01   3.5000000e-01
  -9.1720836e-01  -3.9840103e-01   2.4700000e+00  -1.1200000e+00  -4.8800000e-01  -1.4900000e+01   3.5300000e-01
   9.1720836e-01  -3.9840103e-01   2.4700000e+00   1.1200000e+00  -4.8800000e-01  -1.4900000e+01   3.5200000e-01
  -9.2604158e-01  -3.7741941e-01   2.4700000e+00  -1.1400000e+00  -4.6200000e-01  -1.4900000e+01   3.4900000e-01
   9.2604158e-01  -3.7741941e-01   2.4700000e+00   1.1400000e+00  -4.6200000e-01  -1.4900000e+01   3.4800000e-01
  -9.3439486e-01  -3.5624157e-01   2.4700000e+00  -1.1500000e+00  -4.3600000e-01  -1.4900000e+01   3.5200000e-01
   9.3439486e-01  -3.5624157e-01   2.4700000e+00   1.1500000e+00  -4.3600000e-01  -1.4900000e+01   3.5100000e-01
  -9.4226213e-01  -3.3487965e-01   2.4700000e+00  -1.1600000e+00  -4.1000000e-01  -1.4900000e+01   3.5000000e-01
   9.4226213e-01  -3.3487965e-01   2.4700000e+00   1.1600000e+00  -4.1000000e-01  -1.4900000e+01   3.4900000e-01
  -9.4963732e-01  -3.1334399e-01   2.4700000e+00  -1.1600000e+00  -3.8400000e-01  -1.4900000e+01   3.5300000e-01
   9.4963732e-01  -3.1334399e-01   2.4700000e+00   1.1600000e+00  -3.8400000e-01  -1.4900000e+01   3.5200000e-01
  -9.5652649e-01  -2.9164611e-01   2.4700000e+00  -1.1700000e+00  -3.5700000e-01  -1.4900000e+01   3.5100000e-01
   9.5652649e-01  -2.9164611e-01   2.4700000e+00   1.1700000e+00  -3.5700000e-01  -1.4900000e+01   3.5000000e-01
  -9.6291751e-01  -2.6979697e-01   2.4700000e+00  -1.1800000e+00  -3.3100000e-01  -1.4900000e+01   3.5300000e-01
   9.6291751e-01  -2.6979697e-01   2.4700000e+00   1.1800000e+00  -3.3100000e-01  -1.4900000e+01   3.5200000e-01
  -9.6881037e-01  -2.4780810e-01   2.4700000e+00  -1.1900000e+00  -3.0400000e-01  -1.4900000e+01   3.5000000e-01
   9.6881037e-01  -2.4780810e-01   2.4700000e+00   1.1900000e+00  -3.0400000e-01  -1.4900000e+01   3.4900000e-01
  -9.7419900e-01  -2.2569044e-01   2.4700000e+00  -1.1900000e+00  -2.7700000e-01  -1.4900000e+01   3.5300000e-01
   9.7419900e-01  -2.2569044e-01   2.4700000e+00   1.1900000e+00  -2.7700000e-01  -1.4900000e+01   3.5100000e-01
  -9.7908339e-01  -2.0345613e-01   2.4700000e+00  -1.2000000e+00  -2.4900000e-01  -1.4900000e+01   3.5000000e-01
   9.7908339e-01  -2.0345613e-01   2.4700000e+00   1.2000000e+00  -2.4900000e-01  -1.4900000e+01   3.4900000e-01
  -9.8346354e-01  -1.8111612e-01   2.4700000e+00  -1.2100000e+00  -2.2200000e-01  -1.4900000e+01   3.5200000e-01
   9.8346354e-01  -1.8111612e-01   2.4700000e+00   1.2100000e+00  -2.2200000e-01  -1.4900000e+01   3.5000000e-01
  -9.8732731e-01  -1.5868255e-01   2.4700000e+00  -1.2100000e+00  -1.9400000e-01  -1.4800000e+01   3.4800000e-01
   9.8732731e-01  -1.5868255e-01   2.4700000e+00   1.2100000e+00  -1.9400000e-01  -1.4900000e+01   3.4700000e-01
  -9.9068685e-01  -1.3616697e-01   2.4700000e+00  -1.2100000e+00  -1.6700000e-01  -1.4900000e+01   3.4900000e-01
   9.9068685e-01  -1.3616697e-01   2.4700000e+00   1.2200000e+00  -1.6700000e-01  -1.4900000e+01   3.4800000e-01
  -9.9353000e-01  -1.1358031e-01   2.4700000e+00  -1.2200000e+00  -1.3900000e-01  -1.4800000e+01   3.4500000e-01
   9.9353000e-01  -1.1358031e-01   2.4700000e+00   1.2200000e+00  -1.3900000e-01  -1.4900000e+01   3.4300000e-01
  -9.9585677e-01  -9.0934717e-02   2.4700000e+00  -1.2200000e+00  -1.1100000e-01  -1.4900000e+01   3.4600000e-01
   9.9585677e-01  -9.0934717e-02   2.4700000e+00   1.2200000e+00  -1.1100000e-01  -1.4900000e+01   3.4400000e-01
  -9.9766716e-01  -6.8242348e-02   2.4700000e+00  -1.2200000e+00  -8.3600000e-02  -1.4800000e+01   3.4100000e-01
   9.9766716e-01  -6.8242348e-02   2.4700000e+00   1.2200000e+00  -8.3600000e-02  -1.4800000e+01   3.3900000e-01
  -9.9896116e-01  -4.5514623e-02   2.4700000e+00  -1.2300000e+00  -5.5800000e-02  -1.4800000e+01   3.4300000e-01
   9.9896116e-01  -4.5514623e-02   2.4700000e+00   1.2300000e+00  -5.5700000e-02  -1.4900000e+01   3.4100000e-01
  -9.9973877e-01  -2.2763204e-02   2.4700000e+00  -1.2300000e+00  -2.7900000e-02  -1.4800000e+01   3.3900000e-01
   9.9973877e-01  -2.2763204e-02   2.4700000e+00   1.2300000e+00  -2.7900000e-02  -1.4800000e+01   3.3700000e-01
  -1.0000000e+00   0.0000000e+00   2.4700000e+00  -1.2300000e+00   6.9300000e-06  -1.4800000e+01   3.4100000e-01
   1.0000000e+00   0.0000000e+00   2.4700000e+00   1.2300000e+00   1.2700000e-05  -1.4900000e+01   3.4000000e-01
  -9.9973877e-01   2.2763204e-02   2.4700000e+00  -1.2300000e+00   2.7900000e-02  -1.4800000e+01   3.3900000e-01
   9.9973877e-01   2.2763204e-02   2.4700000e+00   1.2300000e+00   2.7900000e-02  -1.4800000e+01   3.3700000e-01
  -9.9896116e-01   4.5514623e-02   2.4700000e+00  -1.2300000e+00   5.5800000e-02  -1.4800000e+01   3.4300000e-01
   9.9896116e-01   4.5514623e-02   2.4700000e+00   1.2300000e+00   5.5800000e-02  -1.4900000e+01   3.4100000e-01
  -9.9766716e-01   6.8242348e-02   2.4700000e+00  -1.2200000e+00   8.3600000e-02  -1.4800000e+01   3.4100000e-01
   9.9766716e-01   6.8242348e-02   2.4700000e+00   1.2200000e+00   8.3600000e-02  -1.4800000e+01   3.3900000e-01
  -9.9585677e-01   9.0934717e-02   2.4700000e+00  -1.2200000e+00   1.1100000e-01  -1.4900000e+01   3.4600000e-01
   9.9585677e-01   9.0934717e-02   2.4700000e+00   1.2200000e+00   1.1100000e-01  -1.4900000e+01   3.4400000e-01
  -9.9353000e-01   1.1358031e-01   2.4700000e+00  -1.2200000e+00   1.3900000e-01  -1.4800000e+01   3.4500000e-01
   9.9353000e-01   1.1358031e-01   2.4700000e+00   1.2200000e+00   1.3900000e-01  -1.4900000e+01   3.4300000e-01
  -9.9068685e-01   1.3616697e-01   2.4700000e+00  -1.2100000e+00   1.6700000e-01  -1.4900000e+01   3.4900000e-01
   9.9068685e-01   1.3616697e-01   2.4700000e+00   1.2200000e+00   1.6700000e-01  -1.4900000e+01   3.4800000e-01
  -9.8732731e-01   1.5868255e-01   2.4700000e+00  -1.2100000e+00   1.9400000e-01  -1.4800000e+01   3.4800000e-01
   9.8732731e-01   1.5868255e-01   2.4700000e+00   1.2100000e+00   1.9400000e-01  -1.4900000e+01   3.4700000e-01
  -9.8346354e-01   1.8111612e-01   2.4700000e+00  -1.2100000e+00   2.2200000e-01  -1.4900000e+01   3.5200000e-01
   9.8346354e-01   1.8111612e-01   2.4700000e+00   1.2100000e+00   2.2200000e-01  -1.4900000e+01   3.5100000e-01
  -9.7908339e-01   2.0345613e-01   2.4700000e+00  -1.2000000e+00   2.4900000e-01  -1.4900000e+01   3.5000000e-01
   9.7908339e-01   2.0345613e-01   2.4700000e+00   1.2000000e+00   2.4900000e-01  -1.4900000e+01   3.4900000e-01
  -9.7419900e-01   2.2569044e-01   2.4700000e+00  -1.1900000e+00   2.7700000e-01  -1.4900000e+01   3.5300000e-01
   9.7419900e-01   2.2569044e-01   2.4700000e+00   1.1900000e+00   2.7700000e-01  -1.4900000e+01   3.5100000e-01
  -9.6881037e-01   2.4780810e-01   2.4700000e+00  -1.1900000e+00   3.0400000e-01  -1.4900000e+01   3.5000000e-01
   9.6881037e-01   2.4780810e-01   2.4700000e+00   1.1900000e+00   3.0400000e-01  -1.4900000e+01   3.4900000e-01
  -9.6291751e-01   2.6979697e-01   2.4700000e+00  -1.1800000e+00   3.3100000e-01  -1.4900000e+01   3.5300000e-01
   9.6291751e-01   2.6979697e-01   2.4700000e+00   1.1800000e+00   3.3100000e-01  -1.4900000e+01   3.5200000e-01
  -9.5652649e-01   2.9164611e-01   2.4700000e+00  -1.1700000e+00   3.5700000e-01  -1.4900000e+01   3.5100000e-01
   9.5652649e-01   2.9164611e-01   2.4700000e+00   1.1700000e+00   3.5700000e-01  -1.4900000e+01   3.5000000e-01
  -9.4963732e-01   3.1334399e-01   2.4700000e+00  -1.1600000e+00   3.8400000e-01  -1.4900000e+01   3.5300000e-01
   9.4963732e-01   3.1334399e-01   2.4700000e+00   1.1600000e+00   3.8400000e-01  -1.4900000e+01   3.5200000e-01
  -9.4226213e-01   3.3487965e-01   2.4700000e+00  -1.1600000e+00   4.1000000e-01  -1.4900000e+01   3.5000000e-01
   9.4226213e-01   3.3487965e-01   2.4700000e+00   1.1600000e+00   4.1000000e-01  -1.4900000e+01   3.4900000e-01
  -9.3439486e-01   3.5624157e-01   2.4700000e+00  -1.1500000e+00   4.3700000e-01  -1.4900000e+01   3.5200000e-01
   9.3439486e-01   3.5624157e-01   2.4700000e+00   1.1500000e+00   4.3700000e-01  -1.4900000e+01   3.5100000e-01
  -9.2604158e-01   3.7741941e-01   2.4700000e+00  -1.1400000e+00   4.6200000e-01  -1.4900000e+01   3.4900000e-01
   9.2604158e-01   3.7741941e-01   2.4700000e+00   1.1400000e+00   4.6200000e-01  -1.4900000e+01   3.4800000e-01
  -9.1720836e-01   3.9840103e-01   2.4700000e+00  -1.1200000e+00   4.8800000e-01  -1.4900000e+01   3.5300000e-01
   9.1720836e-01   3.9840103e-01   2.4700000e+00   1.1200000e+00   4.8800000e-01  -1.4900000e+01   3.5200000e-01
  -9.0790737e-01   4.1917670e-01   2.4700000e+00  -1.1100000e+00   5.1400000e-01  -1.4900000e+01   3.5100000e-01
   9.0790737e-01   4.1917670e-01   2.4700000e+00   1.1100000e+00   5.1400000e-01  -1.4900000e+01   3.5000000e-01
  -8.9812644e-01   4.3973488e-01   2.4700000e+00  -1.1000000e+00   5.3900000e-01  -1.4900000e+01   3.5300000e-01
   8.9812644e-01   4.3973488e-01   2.4700000e+00   1.1000000e+00   5.3900000e-01  -1.4900000e+01   3.5200000e-01
  -8.8788380e-01   4.6006525e-01   2.4700000e+00  -1.0900000e+00   5.6400000e-01  -1.4900000e+01   3.5000000e-01
   8.8788380e-01   4.6006525e-01   2.4700000e+00   1.0900000e+00   5.6400000e-01  -1.4900000e+01   3.4800000e-01
   8.7718552e-01   4.8015686e-01   2.4700000e+00   1.0800000e+00   5.8800000e-01  -1.4900000e+01   3.5100000e-01
  -8.7718552e-01   4.8015686e-01   2.4700000e+00  -1.0800000e+00   5.8800000e-01  -1.4900000e+01   3.5200000e-01
   8.6602554e-01   5.0000000e-01   2.4700000e+00   1.0600000e+00   6.1300000e-01  -1.4900000e+01   3.4900000e-01
  -8.6602554e-01   5.0000000e-01   2.4700000e+00  -1.0600000e+00   6.1300000e-01  -1.4900000e+01   3.5000000e-01
   8.5442207e-01   5.1958373e-01   2.4700000e+00   1.0500000e+00   6.3700000e-01  -1.4900000e+01   3.5100000e-01
  -8.5442207e-01   5.1958373e-01   2.4700000e+00  -1.0500000e+00   6.3700000e-01  -1.4900000e+01   3.5300000e-01
  -8.4236905e-01   5.3889834e-01   2.4700000e+00  -1.0300000e+00   6.6000000e-01  -1.4900000e+01   3.5000000e-01
   8.4236905e-01   5.3889834e-01   2.4700000e+00   1.0300000e+00   6.6000000e-01  -1.4900000e+01   3.4800000e-01
  -8.2988469e-01   5.5793410e-01   2.4700000e+00  -1.0200000e+00   6.8400000e-01  -1.4900000e+01   3.5300000e-01
   8.2988469e-01   5.5793410e-01   2.4700000e+00   1.0200000e+00   6.8400000e-01  -1.4900000e+01   3.5200000e-01
  -8.1696900e-01   5.7668007e-01   2.4700000e+00  -1.0000000e+00   7.0700000e-01  -1.4900000e+01   3.5100000e-01
   8.1696900e-01   5.7668007e-01   2.4700000e+00   1.0000000e+00   7.0700000e-01  -1.4900000e+01   3.5000000e-01
  -8.0363413e-01   5.9512776e-01   2.4700000e+00  -9.8500000e-01   7.2900000e-01  -1.4900000e+01   3.5300000e-01
   8.0363413e-01   5.9512776e-01   2.4700000e+00   9.8600000e-01   7.2900000e-01  -1.4900000e+01   3.5200000e-01
  -7.8987400e-01   6.1326440e-01   2.4700000e+00  -9.6800000e-01   7.5200000e-01  -1.4900000e+01   3.4900000e-01
   7.8987400e-01   6.1326440e-01   2.4700000e+00   9.6900000e-01   7.5200000e-01  -1.4900000e+01   3.4800000e-01
  -7.7571291e-01   6.3108878e-01   2.4700000e+00  -9.5100000e-01   7.7300000e-01  -1.4900000e+01   3.5100000e-01
   7.7571291e-01   6.3108878e-01   2.4700000e+00   9.5100000e-01   7.7300000e-01  -1.4900000e+01   3.5000000e-01
  -7.6114479e-01   6.4857903e-01   2.4700000e+00  -9.3300000e-01   7.9500000e-01  -1.4900000e+01   3.4800000e-01
   7.6114479e-01   6.4857903e-01   2.4700000e+00   9.3300000e-01   7.9500000e-01  -1.4900000e+01   3.4700000e-01
  -7.4618179e-01   6.6574122e-01   2.4700000e+00  -9.1500000e-01   8.1600000e-01  -1.4900000e+01   3.5100000e-01
   7.4618179e-01   6.6574122e-01   2.4700000e+00   9.1500000e-01   8.1600000e-01  -1.4900000e+01   3.5000000e-01
  -7.3083606e-01   6.8255106e-01   2.4700000e+00  -8.9600000e-01   8.3700000e-01  -1.4900000e+01   3.4900000e-01
   7.3083606e-01   6.8255106e-01   2.4700000e+00   8.9600000e-01   8.3700000e-01  -1.4900000e+01   3.4800000e-01
